blockchain,project,version,block_month,block_date,block_time,block_number,token_bought_symbol,token_sold_symbol,token_pair,token_bought_amount,token_sold_amount,token_bought_amount_raw,token_sold_amount_raw,amount_usd,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,tx_from,tx_to,evt_index
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,USDT,WXDAI,USDT-WXDAI,0.08085,0.08076911021,80850,80769110210475354,0.0808427235,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0x2086f52651837600180de173b09470f54ef74910,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,42
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,USDT,sDAI,sDAI-USDT,0.063477,0.05659741189,63477,56597411885094691,0.06347128707,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xaf204776c7245bf4147c2612bf6e5972ee483701,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0xfc095c811fe836ed12f247bcf042504342b73fb7,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,27
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,WETH,wstETH,WETH-wstETH,0.0000321009349,0.00002713941808,32100934898082,27139418081943,0.08056371631,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0x8dd4df4ce580b9644437f3375e54f1ab09808228,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,46
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,wstETH,WETH,WETH-wstETH,0.00001191963437,0.0000141015531,11919634372350,14101553103576,0.03537830919,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0x8dd4df4ce580b9644437f3375e54f1ab09808228,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,50
celo,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,28494769,cUSD,CELO,CELO-cUSD,135.3892849,215.5224736,135389284893100887088,215522473613685750000,135.4587396,0x765de816845861e75a25fca122bb6898b8b1282a,0x471ece3750da237f93b8e339c536989b8978a438,0x8ef15579466ad9440baba3b8819ce3a29345495c,,0x2d70cbabf4d8e61d5317b62cbe912935fd94e0fe,0xc7968f11d4c028518bdcae0e11eaf29145be7065e2f9c3dc98ab4982a18e0f75,0x578a42fed012939603fbee0bfefcad52f7fbfa05,0x701f141d3b1672ae384023559a02fbedbc1c77ee,9
celo,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,28494769,USD₮,CELO,CELO-USD₮,135.442971,215.5224736,135442971,215522473613685750000,135.4307811,0x48065fbbe25f71c9282ddf5e1cd6d6a887483d5e,0x471ece3750da237f93b8e339c536989b8978a438,0x8ef15579466ad9440baba3b8819ce3a29345495c,,0x6cde5f5a192fbf3fd84df983aa6dc30dbd9f8fac,0x189a9941f2f537c2ad5185ec22bf19a772672ec268d0e435d39292ebf867c6a5,0x578a42fed012939603fbee0bfefcad52f7fbfa05,0x701f141d3b1672ae384023559a02fbedbc1c77ee,5
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739724,wstETH,GNO,GNO-wstETH,0.02488751887,0.3452740613,24887518866475854,345274061286145920,73.86789812,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0x9c58bacc331c9aa871afd802db6379a98e80cedb,0xefabbdefad6c123ffb11f1e3251d516e2764495d,,0x4683e340a8049261057d5ab1b29c8d840e75695e,0x41e9334d8dd4d436ec668c50029e84c3fcc4c4ced4bd1e827e103eedfba3be70,0xefabbdefad6c123ffb11f1e3251d516e2764495d,0xbc5af6918f200220b2961171085e742580613a9b,2
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739724,USDT,WXDAI,USDT-WXDAI,222.633051,222.4575443,222633051,222457544320254802780,222.613014,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0xba95718a52b5a3dba749a7641712dc05a3550d4f,,0x2086f52651837600180de173b09470f54ef74910,0xc519960b04d30956b7eac87784498354997f2495bd3c1af983f3868b31e542a9,0xba95718a52b5a3dba749a7641712dc05a3550d4f,0xba12222222228d8ba445958a75a0704d566bf2c8,24
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739724,USDT,USDC,USDC-USDT,311.043752,310.702118,311043752,310702118,311.0157581,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xddafbb505ad214d7b80b1f830fccc89b60fb7a83,0x00001639b76a5b7fb4428b690f0daaaf119a8813,,0x7644fa5d0ea14fcf3e813fdf93ca9544f8567655,0x4d7c1e18622e79b6c4d192c2ceba79fb4a2d25312e88fa0ad15794162ef94a78,0x00001639b76a5b7fb4428b690f0daaaf119a8813,0xc9c35e593842c3d5e71304b2291e204583226e2a,34
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739724,WETH,wstETH,WETH-wstETH,0.02943513709,0.02488751887,29435137089649586,24887518866475854,73.87336355,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0xefabbdefad6c123ffb11f1e3251d516e2764495d,,0xbad20c15a773bf03ab973302f61fabcea5101f0a,0x41e9334d8dd4d436ec668c50029e84c3fcc4c4ced4bd1e827e103eedfba3be70,0xefabbdefad6c123ffb11f1e3251d516e2764495d,0xbc5af6918f200220b2961171085e742580613a9b,7
